citing	cited	citing_year	state_x
4519760	4043683	1985	CT
5540280	4392376	1996	CA
5555945	4392376	1996	CA
7469746	4392376	2008	CA
7703517	4392376	2010	CA
7347262	4392376	2008	CA
5840348	4350672	1998	CT
5698631	4363746	1997	OK
4629751	4353998	1986	CA
5414127	4322421	1995	CA
5459145	4322421	1995	CA
5869817	4129768	1999	CA
4714812	4129768	1987	CA
7101581	4139666	2006	OK
4490510	3931110	1984	WA
4574145	3931110	1986	WA
4659787	3931110	1987	WA
4431120	4110427	1984	CT
4605554	4110427	1986	CT
4680173	4110427	1987	CT
6112956	4437595	2000	CA
5337698	4437595	1994	CA
4891936	4058977	1990	CT
5913812	4079217	1999	CA
5941506	4079217	1999	CA
7717252	3978975	2010	WA
6420846	3978975	2002	WA
7721875	3978975	2010	WA
7014038	3978975	2006	WA
7673738	3978975	2010	WA
4097309	3990914	1978	CA
4128680	3990914	1978	CA
4320246	3990914	1982	CA
5292353	4038056	1994	MN
4190954	4062115	1980	CA
4282653	4062115	1981	CA
8495943	4373412	2013	CT
8387502	4373412	2013	CT
7824247	4373412	2010	CT
5145339	4453898	1992	CT
7908934	4453898	2011	CT
6918595	4453898	2005	CT
7084691	4412241	2006	CA
4774492	4412241	1988	CA
4827222	4412241	1989	CA
7106120	4412241	2006	CA
7810687	3964739	2010	CA
4625955	3964739	1986	CA
4724945	3964739	1988	CA
4775142	3964739	1988	CA
5056772	3964739	1991	CA
4507227	4296074	1985	CA
6974109	4310161	2005	OK
5821472	4291782	1998	WA
8549834	4291782	2013	WA
8443931	4291782	2013	WA
7127880	4291782	2006	WA
4089705	3973996	1978	WA
4133697	3973996	1979	WA
4149665	3973996	1979	WA
6205656	3973996	2001	WA
4257822	3973996	1981	WA
4881979	3973996	1989	WA
5322217	3966164	1994	CA
4938141	3991679	1990	CA
5861719	4449075	1999	CT
4769753	4449075	1988	CT
8567724	4241890	2013	WA
5573040	3955600	1996	CA
6698451	3955600	2004	CA
6719009	3955600	2004	CA
6755212	3955600	2004	CA
6786233	3955600	2004	CA
7781039	3955600	2010	CA
7128094	3955600	2006	CA
5837667	3948819	1998	MN
8551020	4425919	2013	CA
8551021	4425919	2013	CA
5484409	4425919	1996	CA
5490837	4425919	1996	CA
5507995	4425919	1996	CA
5531721	4425919	1996	CA
5533987	4425919	1996	CA
5667499	4425919	1997	CA
5730733	4425919	1998	CA
5860963	4425919	1999	CA
5891110	4425919	1999	CA
5899892	4425919	1999	CA
5908413	4425919	1999	CA
5947927	4425919	1999	CA
5947939	4425919	1999	CA
5961511	4425919	1999	CA
5976107	4425919	1999	CA
5984909	4425919	1999	CA
6001085	4425919	1999	CA
6036682	4425919	2000	CA
6048338	4425919	2000	CA
6077258	4425919	2000	CA
6102890	4425919	2000	CA
6113579	4425919	2000	CA
6193705	4425919	2001	CA
6264630	4425919	2001	CA
6290692	4425919	2001	CA
6475209	4425919	2002	CA
6500130	4425919	2002	CA
6517515	4425919	2003	CA
6623504	4425919	2003	CA
6689120	4425919	2004	CA
4547193	4425919	1985	CA
4649963	4425919	1987	CA
7824345	4425919	2010	CA
8231647	4425919	2012	CA
7488338	4425919	2009	CA
8535243	4425919	2013	CA
7201763	4425919	2007	CA
7824392	4425919	2010	CA
8022331	4425919	2011	CA
5281203	4425919	1994	CA
7744574	4425919	2010	CA
5338295	4425919	1994	CA
5358493	4425919	1994	CA
8251976	4425919	2012	CA
7744586	4425919	2010	CA
8137293	4425919	2012	CA
8105246	4425919	2012	CA
7115183	4425919	2006	CA
8206372	4425919	2012	CA
7955313	4425919	2011	CA
7615043	4425919	2009	CA
8556914	4425919	2013	CA
8377035	4425919	2013	CA
8409114	4425919	2013	CA
7841994	4425919	2010	CA
7056282	4425916	2006	CA
7179279	4425916	2007	CA
8529613	4425916	2013	CA
7087075	4425916	2006	CA
7142688	4418404	2006	CA
6934402	4418404	2005	CA
5503266	4151913	1996	CA
6810176	4165155	2004	CA
7003187	4165155	2006	CA
6987901	4165155	2006	CA
5526916	3938638	1996	CA
5921373	3938638	1999	CA
6024203	3938638	2000	CA
6125985	3938638	2000	CA
6142283	3938638	2000	CA
6415262	3938638	2002	CA
7613631	3938638	2009	CA
8285591	3938638	2012	CA
8121899	3938638	2012	CA
7251617	3938638	2007	CA
5265141	4219386	1993	WA
5319691	4219386	1994	WA
8205336	4365470	2012	CT
7926280	4365470	2011	CT
7827800	4365470	2010	CT
8215115	4365470	2012	CT
7861530	4365470	2011	CT
5593625	4148952	1997	CA
5611882	4148952	1997	CA
5635123	4148952	1997	CA
4376049	4132649	1983	CA
5137637	4132649	1992	CA
7400042	4400869	2008	CA
8460961	4400869	2013	CA
8013405	4400869	2011	CA
7538401	4400869	2009	CA
7628309	4400869	2009	CA
7952154	4400869	2011	CA
7642115	4400869	2010	CA
7287995	4398783	2007	CA
6539157	4068920	2003	CA
4913505	4068920	1990	CA
5071222	4068920	1991	CA
4784950	4459288	1988	CA
8603777	4459288	2013	CA
5540833	4456527	1996	CA
6063724	4456527	2000	CA
5405401	4301552	1995	CA
7608110	4301552	2009	CA
7160329	4301552	2007	CA
5270088	4273816	1993	CA
5759918	4425038	1998	CT
5851136	4425038	1998	CT
5908530	4425038	1999	CT
5938884	4425038	1999	CT
6110025	4425038	2000	CT
6113479	4425038	2000	CT
6488565	4425038	2002	CT
6494769	4425038	2002	CT
6964487	4299446	2005	CA
4663025	4394362	1987	CA
4904518	4394362	1990	CA
4981327	4262964	1991	OK
5872451	4430614	1999	CT
5545118	4285251	1996	CA
5562584	4285251	1996	CA
5760506	4285251	1998	CA
5778736	4285251	1998	CA
5784926	4285251	1998	CA
6029350	4285251	2000	CA
6211589	4285251	2001	CA
6583528	4285251	2003	CA
4817453	4285251	1989	CA
4991462	4285251	1991	CA
4393498	4115858	1983	CA
4630214	4115858	1986	CA
5695402	4266780	1997	CA
5263721	4266780	1993	CA
4660495	4252470	1987	WA
5442305	4450370	1995	OK
5510727	4450370	1996	OK
5546017	4450370	1996	OK
6092212	4450370	2000	OK
6351138	4450370	2002	OK
6429678	4450370	2002	OK
5347177	4450370	1994	OK
7050892	4404639	2006	CA
7410623	4404639	2008	CA
6052631	4404639	2000	CA
6397131	4404639	2002	CA
7896198	4404639	2011	CA
7954668	4404639	2011	CA
7054822	4404639	2006	CA
7505914	4404639	2009	CA
7201290	4404639	2007	CA
7694589	4404639	2010	CA
8511512	4404639	2013	CA
7803321	4404639	2010	CA
7542946	4404639	2009	CA
8204758	4404639	2012	CA
8277745	4404639	2012	CA
8540937	4404639	2013	CA
7891523	4404639	2011	CA
8296035	4404639	2012	CA
8340861	4404639	2012	CA
4554440	4093847	1985	CA
4822982	4093847	1989	CA
4598824	4364475	1986	CT
4766275	4042796	1988	CA
8141504	4109928	2012	MN
4355689	4109928	1982	MN
4417747	4109928	1983	MN
4619330	4109928	1986	MN
8371238	4109928	2013	MN
5259914	4197061	1993	WA
5332098	4197061	1994	WA
4851838	4451820	1989	CA
5458724	4209357	1995	CA
4341582	4209357	1982	CA
4367114	4209357	1983	CA
4810322	4209357	1989	CA
4238335	4051901	1980	CA
5894704	4472919	1999	MN
6151858	4472919	2000	MN
5248122	4472919	1993	MN
8523590	4501927	2013	MN
5097657	3942724	1992	CT
4480469	4329550	1984	CA
D547378	4344813	2007	CA
4305540	4174801	1981	CA
5258877	4420776	1993	CA
5260842	4420776	1993	CA
8433414	4214804	2013	MN
5385578	4214804	1995	MN
5488768	4214804	1996	MN
5522872	4214804	1996	MN
5746616	4214804	1998	MN
8065012	4214804	2011	MN
8126568	4214804	2012	MN
7236830	4214804	2007	MN
7236831	4214804	2007	MN
8195300	4214804	2012	MN
7856264	4214804	2010	MN
7353064	4214804	2008	MN
7302298	4214804	2007	MN
7620456	4214804	2009	MN
7577481	4214804	2009	MN
7729773	4214804	2010	MN
7908009	4214804	2011	MN
7221981	4214804	2007	MN
7437196	4214804	2008	MN
7299096	4214804	2007	MN
7672730	4214804	2010	MN
8606361	4214804	2013	MN
7917225	4214804	2011	MN
7305268	4214804	2007	MN
8412335	4214804	2013	MN
7146217	4214804	2006	MN
8073546	4214804	2011	MN
7483747	4214804	2009	MN
7756584	4214804	2010	MN
7565199	4214804	2009	MN
7831305	4214804	2010	MN
7565200	4214804	2009	MN
